"FIPS code","State","County Name","Total: Disability Compensation Recipients","SCD rating: 0% to 20%","SCD rating: 30% to 40%","SCD rating: 50% to 60%","SCD rating: 70% to 90%","SCD rating: 100%","Age: 17-44","Age: 45-64","Age: 65 or older","Male","Female"
"06013","California","Contra Costa","11,188","2,635","1,172","1,201","2,966","3,214","3,098","3,203","4,887","10,087","1,095"
"06017","California","El Dorado","3,767","1,024","422","406","1,032","883","882","961","1,924","3,437","330"
"06019","California","Fresno","12,882","3,248","1,250","1,455","3,856","3,073","4,153","3,353","5,376","11,773","1,109"
"06029","California","Kern","13,536","2,885","1,356","1,643","4,169","3,483","4,976","4,025","4,535","12,141","1,391"
"06031","California","Kings","4,195","907","399","455","1,261","1,173","1,516","1,450","1,229","3,578","617"
"06037","California","Los Angeles","73,230","14,766","6,642","7,628","23,053","21,141","27,690","21,670","23,870","65,647","7,568"
"06039","California","Madera","2,600","638","291","298","761","612","788","628","1,184","2,345","255"
"06047","California","Merced","3,020","750","297","360","933","680","1,018","676","1,326","2,750","270"
"06053","California","Monterey","5,683","1,125","645","678","1,729","1,506","1,430","1,692","2,561","4,995","688"
"06059","California","Orange","26,492","5,855","2,774","2,848","7,742","7,273","9,919","7,279","9,294","24,239","2,249"
"06061","California","Placer","8,796","2,028","985","1,005","2,458","2,320","2,508","2,562","3,726","7,946","847"
"06065","California","Riverside","50,395","8,265","3,947","4,573","14,001","19,609","17,234","17,382","15,779","44,647","5,739"
"06067","California","Sacramento","22,835","4,960","2,630","2,602","6,706","5,937","7,077","6,618","9,140","20,000","2,832"
"06071","California","San Bernardino","32,294","6,095","2,940","3,268","9,875","10,116","11,939","9,483","10,872","28,898","3,393"
"06073","California","San Diego","98,159","15,874","9,364","10,303","27,264","35,354","37,669","33,812","26,678","84,275","13,882"
"06075","California","San Francisco","4,333","903","431","420","1,259","1,320","1,628","1,146","1,559","3,816","515"
"06077","California","San Joaquin","9,131","1,843","906","1,060","2,745","2,577","2,791","2,658","3,682","8,215","916"
"06079","California","San Luis Obispo","4,461","1,236","507","499","1,132","1,087","1,022","1,157","2,282","4,086","373"
"06081","California","San Mateo","4,240","933","442","449","1,141","1,275","1,327","1,150","1,763","3,849","390"
"06083","California","Santa Barbara","6,034","1,386","640","655","1,695","1,658","1,808","1,727","2,499","5,394","639"
"06085","California","Santa Clara","9,813","2,064","1,090","1,146","2,887","2,626","3,335","2,499","3,979","8,915","898"
"06089","California","Shasta","4,575","1,014","508","574","1,359","1,120","1,167","1,110","2,298","4,139","436"
"06095","California","Solano","13,981","2,828","1,450","1,529","3,744","4,430","3,227","4,420","6,333","12,062","1,918"
"06097","California","Sonoma","5,304","1,331","531","531","1,456","1,455","1,222","1,272","2,810","4,784","519"
"06099","California","Stanislaus","6,048","1,382","639","700","1,852","1,475","2,002","1,478","2,568","5,516","532"
"06107","California","Tulare","5,929","1,657","620","713","1,727","1,212","1,935","1,546","2,448","5,478","450"
"06111","California","Ventura","12,095","2,437","1,168","1,285","3,474","3,731","3,836","3,663","4,596","10,923","1,170"
"06113","California","Yolo","2,563","674","273","305","686","625","792","769","1,002","2,245","318"
"06115","California","Yuba","2,546","455","262","281","813","735","937","799","810","2,158","388"
"08001","Colorado","Adams","7,698","1,590","978","1,022","2,396","1,712","3,220","2,164","2,314","6,701","997"
"08005","Colorado","Arapahoe","12,060","2,471","1,612","1,679","3,490","2,808","4,436","3,772","3,852","10,209","1,850"
"08031","Colorado","Denver","7,684","1,557","996","1,096","2,251","1,784","3,430","1,966","2,288","6,552","1,131"
"08035","Colorado","Douglas","7,654","1,502","948","1,074","2,225","1,905","2,867","2,930","1,857","6,685","967"
"08041","Colorado","El Paso","52,489","7,178","5,463","6,562","16,118","17,168","20,354","20,062","12,073","43,291","9,195"
"08059","Colorado","Jefferson","8,678","2,081","1,245","1,176","2,365","1,811","3,001","2,410","3,267","7,642","1,034"
"08069","Colorado","Larimer","6,780","1,765","875","884","1,826","1,430","2,512","1,734","2,534","5,992","786"
"08077","Colorado","Mesa","5,370","1,622","680","650","1,327","1,091","1,313","1,531","2,526","4,820","550"
"08101","Colorado","Pueblo","5,446","881","522","624","1,735","1,684","1,627","1,638","2,181","4,798","648"
"08123","Colorado","Weld","6,067","1,394","753","805","1,752","1,363","2,421","1,731","1,915","5,389","678"
"10001","Delaware","Kent","7,050","1,148","733","882","2,275","2,012","1,646","2,736","2,667","5,860","1,189"
"10003","Delaware","New Castle","7,491","1,475","841","890","2,352","1,933","1,871","2,566","3,054","6,422","1,069"
"10005","Delaware","Sussex","4,953","1,081","567","615","1,453","1,237","834","1,294","2,825","4,390","561"
"11001","District Of Columbia","District Of Columbia","7,384","1,294","828","925","2,196","2,141","2,824","2,496","2,064","5,925","1,459"
"12005","Florida","Bay","10,325","1,911","1,063","1,120","2,872","3,359","2,378","4,180","3,767","8,811","1,514"
"12009","Florida","Brevard","29,014","5,240","2,806","3,196","8,600","9,172","6,905","10,593","11,516","25,088","3,924"
"12011","Florida","Broward","21,025","3,755","2,044","2,223","6,388","6,615","6,942","7,408","6,675","18,035","2,984"
"12019","Florida","Clay","15,187","2,321","1,351","1,593","4,165","5,757","3,754","6,801","4,632","12,637","2,550"
"12031","Florida","Duval","37,487","6,337","3,750","4,042","10,977","12,381","11,403","15,449","10,635","30,566","6,918"
"12033","Florida","Escambia","17,646","3,425","1,910","2,067","5,277","4,967","4,208","6,711","6,727","14,800","2,845"
"12053","Florida","Hernando","7,595","1,302","763","794","2,376","2,360","1,765","2,306","3,524","6,692","903"
"12057","Florida","Hillsborough","42,212","6,195","3,889","4,503","11,680","15,945","12,488","17,487","12,237","34,923","7,287"
"12069","Florida","Lake","12,521","2,567","1,222","1,358","3,642","3,732","2,755","3,779","5,987","11,165","1,355"
"12071","Florida","Lee","14,600","3,397","1,615","1,702","4,155","3,731","3,292","4,028","7,280","13,222","1,377"
"12081","Florida","Manatee","9,340","1,913","979","1,049","2,623","2,776","2,139","2,981","4,220","8,274","1,066"
"12083","Florida","Marion","12,993","2,640","1,352","1,457","3,748","3,796","2,659","3,656","6,678","11,511","1,482"
"12086","Florida","Miami-Dade","17,755","2,968","1,611","1,724","5,557","5,895","6,579","6,026","5,150","15,609","2,145"
"12091","Florida","Okaloosa","20,103","3,402","2,057","2,222","5,659","6,763","5,630","8,408","6,065","16,695","3,408"
"12095","Florida","Orange","25,427","4,095","2,405","2,654","7,639","8,634","8,395","9,050","7,982","21,673","3,751"
"12097","Florida","Osceola","10,041","1,258","784","962","3,007","4,030","3,135","3,781","3,125","8,677","1,363"
"12099","Florida","Palm Beach","16,795","3,435","1,681","1,846","4,851","4,982","4,488","4,954","7,353","14,991","1,801"
"12101","Florida","Pasco","19,524","3,306","1,862","2,079","5,578","6,699","5,469","6,865","7,190","16,868","2,656"
"12103","Florida","Pinellas","22,567","4,501","2,485","2,553","6,662","6,366","5,341","7,363","9,863","19,522","3,045"
"12105","Florida","Polk","18,998","3,594","1,881","2,078","5,605","5,840","5,046","6,145","7,807","16,541","2,454"
"12109","Florida","St. Johns","10,745","1,741","976","1,120","2,788","4,120","2,928","4,519","3,298","9,252","1,492"
"12111","Florida","St. Lucie","8,864","1,770","764","960","2,711","2,659","2,210","2,705","3,949","7,758","1,106"
"12113","Florida","Santa Rosa","16,434","2,620","1,618","1,761","4,707","5,728","4,347","7,609","4,478","13,884","2,550"
"12115","Florida","Sarasota","8,882","2,130","992","1,020","2,400","2,340","1,624","2,256","5,002","8,125","755"
"12117","Florida","Seminole","9,847","1,940","1,022","1,125","2,890","2,870","3,134","3,216","3,497","8,561","1,286"
"12127","Florida","Volusia","18,805","4,302","1,890","2,024","5,247","5,342","4,441","5,387","8,977","16,727","2,077"
"13051","Georgia","Chatham","10,532","1,384","1,023","1,146","3,495","3,484","4,012","3,746","2,774","8,419","2,113"
"13067","Georgia","Cobb","13,189","2,318","1,316","1,480","4,025","4,050","4,011","5,002","4,176","10,789","2,400"
"13073","Georgia","Columbia","11,981","1,123","922","1,181","3,520","5,235","4,020","5,379","2,582","9,066","2,914"
"13089","Georgia","DeKalb","12,764","2,251","1,226","1,362","4,091","3,834","3,584","4,681","4,499","9,999","2,763"
"13121","Georgia","Fulton","15,316","2,354","1,451","1,564","4,804","5,143","5,119","5,720","4,477","11,969","3,345"
"13135","Georgia","Gwinnett","13,893","2,161","1,251","1,473","4,369","4,639","4,520","5,761","3,612","11,116","2,775"
"13151","Georgia","Henry","10,929","1,318","755","938","3,257","4,661","2,884","5,198","2,847","8,148","2,781"
"13153","Georgia","Houston","12,356","1,596","988","1,277","3,729","4,766","3,282","5,571","3,503","9,780","2,576"
"13179","Georgia","Liberty","7,306","609","505","636","2,426","3,130","2,804","2,863","1,639","5,468","1,837"
"13215","Georgia","Muscogee","11,800","1,280","806","1,020","3,440","5,254","3,096","4,585","4,119","9,371","2,427"
"13245","Georgia","Richmond","10,530","1,157","906","1,050","3,451","3,966","2,781","3,753","3,996","7,867","2,663"
"15003","Hawaii","Honolulu","31,679","5,877","3,393","3,857","8,933","9,619","9,968","11,553","10,158","27,028","4,647"
"16001","Idaho","Ada","13,151","2,830","1,666","1,798","3,942","2,915","4,267","4,305","4,579","11,656","1,492"
"17031","Illinois","Cook","32,786","5,790","3,320","3,635","10,907","9,134","10,928","9,573","12,284","28,585","4,198"
"17097","Illinois","Lake","9,623","1,588","1,002","1,074","3,172","2,787","4,187","2,760","2,676","8,092","1,530"
"17163","Illinois","St. Clair","11,766","1,638","1,133","1,220","3,826","3,949","3,001","5,494","3,271","9,433","2,332"
"17197","Illinois","Will","7,061","1,231","685","777","2,302","2,066","2,279","2,231","2,551","6,287","774"
"18003","Indiana","Allen","6,550","2,073","825","883","1,526","1,243","1,894","1,936","2,720","5,937","609"
"18089","Indiana","Lake","6,346","1,216","739","768","2,024","1,599","1,648","2,075","2,623","5,695","650"
"18097","Indiana","Marion","13,033","3,464","1,722","1,646","3,591","2,610","3,510","4,256","5,267","11,309","1,724"
"19153","Iowa","Polk","7,965","2,131","1,057","1,037","1,958","1,782","2,212","2,475","3,278","7,175","788"
"20061","Kansas","Geary","3,306","333","250","365","1,181","1,177","1,429","1,236","641","2,650","656"
"20091","Kansas","Johnson","7,127","1,553","872","884","2,104","1,714","2,312","2,225","2,590","6,419","708"
"20103","Kansas","Leavenworth","4,767","775","522","579","1,412","1,479","1,046","2,106","1,615","4,074","692"
"20173","Kansas","Sedgwick","10,177","2,018","1,128","1,245","2,993","2,793","3,268","3,488","3,421","8,964","1,212"
"21047","Kentucky","Christian","3,825","558","393","407","1,335","1,132","1,791","1,247","787","3,198","627"
"21093","Kentucky","Hardin","8,140","1,124","774","929","2,397","2,916","1,647","3,824","2,669","6,799","1,341"
"21111","Kentucky","Jefferson","10,868","2,810","1,527","1,471","2,859","2,201","2,503","3,778","4,587","9,517","1,350"
"22015","Louisiana","Bossier","5,963","806","517","717","1,871","2,052","1,593","2,585","1,784","4,956","1,006"
"22017","Louisiana","Caddo","5,639","948","508","731","1,813","1,639","1,274","2,164","2,201","4,736","903"
"22033","Louisiana","East Baton Rouge","6,382","1,431","660","668","1,923","1,700","1,684","2,132","2,566","5,451","931"
"22051","Louisiana","Jefferson","5,900","1,212","627","722","1,778","1,561","1,351","2,099","2,450","5,073","827"
"22071","Louisiana","Orleans","5,436","995","540","640","1,762","1,499","1,229","1,962","2,245","4,595","841"
"22103","Louisiana","St. Tammany","7,061","1,345","612","799","2,173","2,132","1,907","2,718","2,436","6,111","950"
"22115","Louisiana","Vernon","3,476","425","256","331","998","1,466","1,182","1,387","907","2,915","561"
"23005","Maine","Cumberland","5,037","1,057","618","593","1,590","1,179","1,234","1,559","2,244","4,503","532"
"24003","Maryland","Anne Arundel","19,277","2,753","2,046","2,352","5,682","6,444","6,597","8,278","4,402","14,904","4,372"
"24005","Maryland","Baltimore","10,064","1,919","1,106","1,268","2,899","2,872","2,837","3,649","3,578","8,391","1,671"
"24017","Maryland","Charles","8,768","1,005","759","852","2,427","3,725","2,223","4,636","1,909","6,432","2,336"
"24021","Maryland","Frederick","5,865","1,007","606","727","1,739","1,786","2,006","2,346","1,513","4,882","983"
"24025","Maryland","Harford","6,682","1,032","659","788","1,885","2,318","1,739","2,827","2,116","5,608","1,073"
"24027","Maryland","Howard","5,521","889","644","692","1,560","1,736","1,961","2,367","1,192","4,289","1,231"
"24031","Maryland","Montgomery","10,228","1,764","1,277","1,190","2,960","3,037","3,306","3,970","2,952","8,070","2,157"
"24033","Maryland","Prince George's","22,973","3,058","2,000","2,345","6,389","9,181","5,427","9,903","7,643","17,414","5,555"
"24037","Maryland","St. Mary's","6,141","946","665","788","1,778","1,964","2,050","2,875","1,216","5,213","928"
"24510","Maryland","Baltimore City","6,691","1,318","742","839","1,985","1,807","2,005","2,238","2,448","5,460","1,229"
"25017","Massachusetts","Middlesex","12,971","3,403","1,673","1,569","3,553","2,773","3,910","3,026","6,035","11,857","1,112"
"25023","Massachusetts","Plymouth","9,040","2,400","911","986","2,482","2,261","2,280","2,241","4,519","8,362","676"
"25027","Massachusetts","Worcester","10,758","2,730","1,246","1,288","3,070","2,424","3,188","2,894","4,676","9,807","950"
"26049","Michigan","Genesee","6,202","1,551","758","692","1,763","1,438","1,468","1,883","2,851","5,657","542"
"26081","Michigan","Kent","6,565","1,242","756","855","2,039","1,673","2,230","1,641","2,694","5,906","659"
"26099","Michigan","Macomb","10,725","2,428","1,344","1,355","3,030","2,568","2,658","3,230","4,837","9,692","1,031"
"26125","Michigan","Oakland","11,507","2,725","1,467","1,430","3,121","2,764","3,009","3,185","5,312","10,410","1,095"
"26163","Michigan","Wayne","17,379","4,270","2,176","2,092","4,942","3,899","4,021","5,249","8,108","15,541","1,835"
"27003","Minnesota","Anoka","6,857","2,760","922","702","1,414","1,059","1,615","1,651","3,591","6,324","520"
"27037","Minnesota","Dakota","8,156","2,938","1,092","932","1,803","1,391","1,998","2,240","3,918","7,363","783"
"27053","Minnesota","Hennepin","12,911","4,827","1,728","1,463","2,715","2,178","3,304","2,951","6,655","11,656","1,226"
"27123","Minnesota","Ramsey","5,727","2,110","768","680","1,245","924","1,403","1,270","3,054","5,171","547"
"27137","Minnesota","St. Louis","5,704","2,096","693","642","1,230","1,043","960","1,568","3,176","5,259","417"
"28033","Mississippi","DeSoto","4,706","778","414","510","1,498","1,506","1,395","1,874","1,437","3,993","713"
"28047","Mississippi","Harrison","10,759","1,723","1,016","1,251","3,239","3,530","2,614","4,302","3,843","8,819","1,940"
"28049","Mississippi","Hinds","4,039","655","385","432","1,334","1,233","782","1,522","1,735","3,362","677"
"28059","Mississippi","Jackson","5,418","883","555","637","1,699","1,644","1,343","2,242","1,833","4,563","855"
"29047","Missouri","Clay","4,689","915","549","571","1,523","1,131","1,562","1,475","1,652","4,200","488"
"29077","Missouri","Greene","5,884","1,421","716","717","1,798","1,232","1,692","1,795","2,397","5,292","592"
"29095","Missouri","Jackson","11,274","2,382","1,277","1,351","3,609","2,655","3,488","3,345","4,440","9,925","1,347"
"29099","Missouri","Jefferson","4,697","976","560","612","1,433","1,116","1,492","1,429","1,776","4,260","437"
"29169","Missouri","Pulaski","4,979","514","375","456","1,606","2,028","1,649","2,140","1,190","4,073","905"
"29183","Missouri","St. Charles","6,818","1,452","821","875","1,986","1,684","2,185","2,102","2,531","6,059","757"
"29189","Missouri","St. Louis","12,088","2,488","1,461","1,594","3,596","2,949","2,974","3,609","5,505","10,511","1,574"
"30013","Montana","Cascade","4,164","819","612","600","1,202","931","1,220","1,502","1,442","3,576","588"
"30111","Montana","Yellowstone","4,495","995","537","580","1,256","1,127","1,360","1,403","1,732","4,015","479"
"31055","Nebraska","Douglas","9,676","2,495","1,280","1,260","2,545","2,096","2,897","3,000","3,779","8,602","1,072"
"31109","Nebraska","Lancaster","7,032","2,141","827","859","1,637","1,568","1,794","1,950","3,288","6,343","685"
"31153","Nebraska","Sarpy","10,481","2,161","1,346","1,393","2,835","2,746","2,890","4,335","3,256","8,841","1,637"
"32003","Nevada","Clark","58,508","8,428","4,806","5,818","17,980","21,476","18,308","20,149","20,051","50,400","8,107"
"32031","Nevada","Washoe","10,542","2,202","1,086","1,158","3,063","3,033","3,074","3,081","4,387","9,434","1,107"
"33011","New Hampshire","Hillsborough","7,673","1,908","1,074","1,041","2,117","1,533","2,478","2,289","2,906","6,916","757"
"33015","New Hampshire","Rockingham","5,920","1,572","778","768","1,617","1,185","1,658","1,728","2,534","5,421","499"
"34005","New Jersey","Burlington","9,004","1,514","858","960","2,769","2,903","2,484","3,100","3,419","7,631","1,371"
"34007","New Jersey","Camden","5,912","1,084","555","639","1,836","1,798","1,726","1,794","2,392","5,204","708"
"34029","New Jersey","Ocean","8,069","1,932","838","864","2,330","2,105","1,672","1,755","4,642","7,598","469"
"35001","New Mexico","Bernalillo","15,993","2,895","1,575","1,806","5,306","4,411","3,980","5,487","6,526","13,879","2,114"
"35013","New Mexico","Dona Ana","5,529","803","471","586","1,902","1,767","1,550","1,841","2,138","4,888","640"
"35043","New Mexico","Sandoval","5,091","826","427","522","1,789","1,527","1,303","1,870","1,918","4,427","664"
"36029","New York","Erie","12,448","1,964","1,305","1,484","4,248","3,447","3,219","3,670","5,559","11,145","1,301"
"36047","New York","Kings","8,494","1,542","904","932","2,602","2,514","3,519","2,428","2,547","7,078","1,414"
"36055","New York","Monroe","8,064","1,895","985","969","2,354","1,861","2,354","2,190","3,520","7,247","817"
"36059","New York","Nassau","7,346","1,686","899","825","2,016","1,920","2,203","1,663","3,480","6,774","570"
"36081","New York","Queens","8,267","1,557","900","911","2,551","2,348","3,620","2,087","2,560","7,223","1,044"
"36103","New York","Suffolk","12,014","2,632","1,407","1,342","3,499","3,134","3,607","2,816","5,591","11,062","950"
"37051","North Carolina","Cumberland","32,059","2,621","1,930","2,622","9,517","15,369","10,326","12,678","9,054","24,866","7,190"
"37067","North Carolina","Forsyth","7,014","1,181","681","825","2,256","2,071","1,910","2,285","2,819","6,069","945"
"37081","North Carolina","Guilford","9,354","1,486","920","1,027","3,079","2,842","2,432","3,251","3,671","7,917","1,436"
"37085","North Carolina","Harnett","9,068","745","551","752","2,626","4,394","3,307","3,878","1,883","7,329","1,739"
"37119","North Carolina","Mecklenburg","16,696","2,456","1,480","1,743","5,335","5,682","5,945","5,648","5,103","13,468","3,226"
"37125","North Carolina","Moore","6,168","617","378","483","1,641","3,049","1,898","2,579","1,691","5,155","1,013"
"37133","North Carolina","Onslow","22,086","1,941","1,570","2,115","6,594","9,866","10,240","7,523","4,323","18,297","3,788"
"37183","North Carolina","Wake","19,154","2,954","1,919","2,210","5,944","6,127","6,975","6,895","5,284","15,993","3,159"
"37191","North Carolina","Wayne","5,808","836","541","640","1,840","1,951","1,449","2,147","2,212","4,893","915"
"39017","Ohio","Butler","5,980","1,836","784","757","1,528","1,075","1,610","1,777","2,593","5,484","495"
"39035","Ohio","Cuyahoga","15,046","3,577","1,867","1,860","4,225","3,517","3,854","4,374","6,818","13,183","1,863"
"39049","Ohio","Franklin","14,582","3,469","1,996","1,989","4,148","2,980","4,908","4,495","5,179","12,596","1,985"
"39057","Ohio","Greene","6,947","1,380","926","915","1,998","1,728","1,761","2,926","2,260","5,788","1,159"
"39061","Ohio","Hamilton","9,012","2,471","1,255","1,262","2,390","1,634","2,557","2,498","3,957","8,001","1,008"
